,ds,y
821,2020-04-23 05:00:00,32
822,2020-04-23 06:00:00,41
823,2020-04-23 07:00:00,70
824,2020-04-23 08:00:00,85
825,2020-04-23 09:00:00,102
826,2020-04-23 10:00:00,141
827,2020-04-23 11:00:00,135
828,2020-04-23 12:00:00,148
829,2020-04-23 13:00:00,132
830,2020-04-23 14:00:00,140
831,2020-04-23 15:00:00,141
832,2020-04-23 16:00:00,136
833,2020-04-23 17:00:00,134
834,2020-04-23 18:00:00,112
835,2020-04-23 19:00:00,76
836,2020-04-23 20:00:00,77
837,2020-04-23 21:00:00,49
838,2020-04-23 22:00:00,52
839,2020-04-23 23:00:00,47
840,2020-04-24 00:00:00,32
841,2020-04-24 01:00:00,13
842,2020-04-24 02:00:00,10
843,2020-04-24 03:00:00,12
844,2020-04-24 04:00:00,34
845,2020-04-24 05:00:00,37
846,2020-04-24 06:00:00,48
847,2020-04-24 07:00:00,89
848,2020-04-24 08:00:00,82
849,2020-04-24 09:00:00,117
850,2020-04-24 10:00:00,116
851,2020-04-24 11:00:00,127
852,2020-04-24 12:00:00,165
853,2020-04-24 13:00:00,152
854,2020-04-24 14:00:00,131
855,2020-04-24 15:00:00,143
856,2020-04-24 16:00:00,153
857,2020-04-24 17:00:00,127
858,2020-04-24 18:00:00,113
859,2020-04-24 19:00:00,82
860,2020-04-24 20:00:00,70
861,2020-04-24 21:00:00,45
862,2020-04-24 22:00:00,58
863,2020-04-24 23:00:00,40
864,2020-04-25 00:00:00,27
865,2020-04-25 01:00:00,15
866,2020-04-25 02:00:00,13
867,2020-04-25 03:00:00,12
868,2020-04-25 04:00:00,37
869,2020-04-25 05:00:00,42
870,2020-04-25 06:00:00,31
871,2020-04-25 07:00:00,41
872,2020-04-25 08:00:00,62
873,2020-04-25 09:00:00,75
874,2020-04-25 10:00:00,78
875,2020-04-25 11:00:00,99
876,2020-04-25 12:00:00,98
877,2020-04-25 13:00:00,99
878,2020-04-25 14:00:00,109
879,2020-04-25 15:00:00,128
880,2020-04-25 16:00:00,85
881,2020-04-25 17:00:00,86
882,2020-04-25 18:00:00,53
883,2020-04-25 19:00:00,51
884,2020-04-25 20:00:00,44
885,2020-04-25 21:00:00,44
886,2020-04-25 22:00:00,43
887,2020-04-25 23:00:00,39
888,2020-04-26 00:00:00,17
889,2020-04-26 01:00:00,14
890,2020-04-26 02:00:00,7
891,2020-04-26 03:00:00,6
892,2020-04-26 04:00:00,6
893,2020-04-26 05:00:00,17
894,2020-04-26 06:00:00,23
895,2020-04-26 07:00:00,25
896,2020-04-26 08:00:00,44
897,2020-04-26 09:00:00,43
898,2020-04-26 10:00:00,59
899,2020-04-26 11:00:00,62
900,2020-04-26 12:00:00,75
901,2020-04-26 13:00:00,69
902,2020-04-26 14:00:00,83
903,2020-04-26 15:00:00,76
904,2020-04-26 16:00:00,70
905,2020-04-26 17:00:00,72
906,2020-04-26 18:00:00,51
907,2020-04-26 19:00:00,52
908,2020-04-26 20:00:00,41
909,2020-04-26 21:00:00,48
910,2020-04-26 22:00:00,48
911,2020-04-26 23:00:00,39
912,2020-04-27 00:00:00,23
913,2020-04-27 01:00:00,14
914,2020-04-27 02:00:00,13
915,2020-04-27 03:00:00,14
916,2020-04-27 04:00:00,26
917,2020-04-27 05:00:00,48
918,2020-04-27 06:00:00,52
919,2020-04-27 07:00:00,86
920,2020-04-27 08:00:00,91
921,2020-04-27 09:00:00,110
922,2020-04-27 10:00:00,126
923,2020-04-27 11:00:00,131
924,2020-04-27 12:00:00,137
925,2020-04-27 13:00:00,140
926,2020-04-27 14:00:00,160
927,2020-04-27 15:00:00,181
928,2020-04-27 16:00:00,150
929,2020-04-27 17:00:00,124
930,2020-04-27 18:00:00,95
931,2020-04-27 19:00:00,78
932,2020-04-27 20:00:00,51
933,2020-04-27 21:00:00,33
934,2020-04-27 22:00:00,42
935,2020-04-27 23:00:00,37
936,2020-04-28 00:00:00,23
937,2020-04-28 01:00:00,17
938,2020-04-28 02:00:00,7
939,2020-04-28 03:00:00,16
940,2020-04-28 04:00:00,27
941,2020-04-28 05:00:00,43
942,2020-04-28 06:00:00,52
943,2020-04-28 07:00:00,64
944,2020-04-28 08:00:00,81
945,2020-04-28 09:00:00,121
946,2020-04-28 10:00:00,142
947,2020-04-28 11:00:00,118
948,2020-04-28 12:00:00,149
949,2020-04-28 13:00:00,170
950,2020-04-28 14:00:00,168
951,2020-04-28 15:00:00,170
952,2020-04-28 16:00:00,167
953,2020-04-28 17:00:00,150
954,2020-04-28 18:00:00,118
955,2020-04-28 19:00:00,89
956,2020-04-28 20:00:00,63
957,2020-04-28 21:00:00,42
958,2020-04-28 22:00:00,43
959,2020-04-28 23:00:00,37
960,2020-04-29 00:00:00,24
961,2020-04-29 01:00:00,13
962,2020-04-29 02:00:00,16
963,2020-04-29 03:00:00,17
964,2020-04-29 04:00:00,25
965,2020-04-29 05:00:00,47
966,2020-04-29 06:00:00,66
967,2020-04-29 07:00:00,89
968,2020-04-29 08:00:00,100
969,2020-04-29 09:00:00,125
970,2020-04-29 10:00:00,145
971,2020-04-29 11:00:00,165
972,2020-04-29 12:00:00,151
973,2020-04-29 13:00:00,151
974,2020-04-29 14:00:00,169
975,2020-04-29 15:00:00,162
976,2020-04-29 16:00:00,203
977,2020-04-29 17:00:00,154
978,2020-04-29 18:00:00,120
979,2020-04-29 19:00:00,72
980,2020-04-29 20:00:00,59
981,2020-04-29 21:00:00,55
982,2020-04-29 22:00:00,47
983,2020-04-29 23:00:00,39
984,2020-04-30 00:00:00,29
985,2020-04-30 01:00:00,17
986,2020-04-30 02:00:00,15
987,2020-04-30 03:00:00,15
988,2020-04-30 04:00:00,22
989,2020-04-30 05:00:00,34
990,2020-04-30 06:00:00,59
991,2020-04-30 07:00:00,79
992,2020-04-30 08:00:00,110
993,2020-04-30 09:00:00,133
994,2020-04-30 10:00:00,149
995,2020-04-30 11:00:00,141
996,2020-04-30 12:00:00,173
997,2020-04-30 13:00:00,192
998,2020-04-30 14:00:00,170
999,2020-04-30 15:00:00,161
1000,2020-04-30 16:00:00,149
1001,2020-04-30 17:00:00,150
1002,2020-04-30 18:00:00,117
1003,2020-04-30 19:00:00,104
1004,2020-04-30 20:00:00,65
1005,2020-04-30 21:00:00,59
1006,2020-04-30 22:00:00,56
1007,2020-04-30 23:00:00,56
1008,2020-05-01 00:00:00,3
