,ds,yhat
121,2020-03-25 01:00:00,38.124118090872834
122,2020-03-25 02:00:00,31.45090379541287
123,2020-03-25 03:00:00,33.02921615771603
124,2020-03-25 04:00:00,41.563296786601654
125,2020-03-25 05:00:00,54.48905607164183
126,2020-03-25 06:00:00,70.62883045605173
127,2020-03-25 07:00:00,90.033626291193
128,2020-03-25 08:00:00,111.61353309697667
129,2020-03-25 09:00:00,131.79972104232513
130,2020-03-25 10:00:00,146.620874751927
131,2020-03-25 11:00:00,154.57768616620785
132,2020-03-25 12:00:00,158.7019843459126
133,2020-03-25 13:00:00,163.5245247797622
134,2020-03-25 14:00:00,170.24987439064628
135,2020-03-25 15:00:00,174.59156647540834
136,2020-03-25 16:00:00,169.85602819590852
137,2020-03-25 17:00:00,152.9429830052579
138,2020-03-25 18:00:00,127.88208208383159
139,2020-03-25 19:00:00,103.46093406323587
140,2020-03-25 20:00:00,86.78548782043592
141,2020-03-25 21:00:00,78.32917222101233
142,2020-03-25 22:00:00,72.6689711381385
143,2020-03-25 23:00:00,63.96493402895056
144,2020-03-26 00:00:00,51.144730452140024
145,2020-03-26 01:00:00,38.4266916302499
146,2020-03-26 02:00:00,31.361517811542633
147,2020-03-26 03:00:00,32.51204460497057
148,2020-03-26 04:00:00,40.59583203370467
149,2020-03-26 05:00:00,53.062496382258836
150,2020-03-26 06:00:00,68.748240410112
151,2020-03-26 07:00:00,87.71786751870958
152,2020-03-26 08:00:00,108.89496592491867
153,2020-03-26 09:00:00,128.72368090337056
154,2020-03-26 10:00:00,143.02462113704968
155,2020-03-26 11:00:00,150.53007108359247
156,2020-03-26 12:00:00,154.28199806845385
157,2020-03-26 13:00:00,158.81997158592355
158,2020-03-26 14:00:00,165.35588750350666
159,2020-03-26 15:00:00,169.60898297751461
160,2020-03-26 16:00:00,164.8896467478844
161,2020-03-26 17:00:00,148.09972896834054
162,2020-03-26 18:00:00,123.36882079916649
163,2020-03-26 19:00:00,99.38310059578308
164,2020-03-26 20:00:00,83.24484927826597
165,2020-03-26 21:00:00,75.42189207254512
166,2020-03-26 22:00:00,70.48371846620915
167,2020-03-26 23:00:00,62.58106556932643
168,2020-03-27 00:00:00,50.63057250518015
169,2020-03-27 01:00:00,38.837947813968476
170,2020-03-27 02:00:00,32.73982714249776
171,2020-03-27 03:00:00,34.8837125907516
172,2020-03-27 04:00:00,43.97075533621729
173,2020-03-27 05:00:00,57.43329921245828
174,2020-03-27 06:00:00,74.0896381470099
175,2020-03-27 07:00:00,93.98627016787347
176,2020-03-27 08:00:00,116.02833096997304
177,2020-03-27 09:00:00,136.6416218823644
178,2020-03-27 10:00:00,151.62877496359062
179,2020-03-27 11:00:00,159.7047237457321
180,2020-03-27 12:00:00,163.89496494685798
181,2020-03-27 13:00:00,168.72372523442203
182,2020-03-27 14:00:00,175.38892244901334
183,2020-03-27 15:00:00,179.5974038713333
184,2020-03-27 16:00:00,174.64896316525784
185,2020-03-27 17:00:00,157.43683728711562
186,2020-03-27 18:00:00,131.98443624399133
187,2020-03-27 19:00:00,107.07347370899221
188,2020-03-27 20:00:00,89.8044519351384
189,2020-03-27 21:00:00,80.6459034683235
190,2020-03-27 22:00:00,74.1705665535726
191,2020-03-27 23:00:00,64.53499311548396
192,2020-03-28 00:00:00,50.6641962538136
193,2020-03-28 01:00:00,36.77477896743142
194,2020-03-28 02:00:00,28.416721525223778
195,2020-03-28 03:00:00,28.153219341260858
196,2020-03-28 04:00:00,34.703333938228965
197,2020-03-28 05:00:00,45.5193759265031
198,2020-03-28 06:00:00,59.44147458591117
